scenario,worldview,bound,method,credence_scenario,ea_awf,givewell,leaf,longview_ai,longview_nuclear,navigation_fund_cagefree,navigation_fund_general,sentinel_bio
baseline,baseline,baseline,nashBargaining,,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
baseline,baseline,baseline,credenceWeighted,,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
baseline,baseline,baseline,mec,,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
baseline,baseline,baseline,met,,17.00,11.00,2.00,6.00,2.00,16.00,42.00,4.00
baseline,baseline,baseline,splitCycle,,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
baseline,baseline,baseline,borda,,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
baseline,baseline,baseline,lexicographicMaximin,,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
Total Utilitarianism — Default_low,Total Utilitarianism — Default,low,nashBargaining,0.0500,11.45,16.41,6.49,31.34,2.96,15.46,8.29,7.60
Total Utilitarianism — Default_low,Total Utilitarianism — Default,low,credenceWeighted,0.0500,11.45,16.41,6.49,31.34,2.96,15.46,8.29,7.60
Total Utilitarianism — Default_low,Total Utilitarianism — Default,low,mec,0.0500,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
Total Utilitarianism — Default_low,Total Utilitarianism — Default,low,met,0.0500,17.00,14.00,5.00,0.00,2.00,16.00,42.00,4.00
Total Utilitarianism — Default_low,Total Utilitarianism — Default,low,splitCycle,0.0500,17.00,19.00,6.00,0.00,0.00,16.00,42.00,0.00
Total Utilitarianism — Default_low,Total Utilitarianism — Default,low,borda,0.0500,17.00,19.00,6.00,0.00,0.00,16.00,42.00,0.00
Total Utilitarianism — Default_low,Total Utilitarianism — Default,low,lexicographicMaximin,0.0500,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
Total Utilitarianism — Default_high,Total Utilitarianism — Default,high,nashBargaining,0.2500,7.83,11.96,5.38,45.79,2.17,15.29,5.42,6.17
Total Utilitarianism — Default_high,Total Utilitarianism — Default,high,credenceWeighted,0.2500,7.83,11.96,5.38,45.79,2.17,15.29,5.42,6.17
Total Utilitarianism — Default_high,Total Utilitarianism — Default,high,mec,0.2500,0.00,0.00,0.00,92.00,3.00,0.00,0.00,5.00
Total Utilitarianism — Default_high,Total Utilitarianism — Default,high,met,0.2500,17.00,14.00,2.00,6.00,1.00,16.00,42.00,2.00
Total Utilitarianism — Default_high,Total Utilitarianism — Default,high,splitCycle,0.2500,6.50,0.00,0.00,71.00,1.50,15.17,3.83,2.00
Total Utilitarianism — Default_high,Total Utilitarianism — Default,high,borda,0.2500,17.00,18.08,6.08,0.08,0.08,16.00,41.58,1.08
Total Utilitarianism — Default_high,Total Utilitarianism — Default,high,lexicographicMaximin,0.2500,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
"Total Utilitarianism — Person-Affecting/Cluelessness, Sentience-only discounts, Empirical disbelief in upside scenarios_low","Total Utilitarianism — Person-Affecting/Cluelessness, Sentience-only discounts, Empirical disbelief in upside scenarios",low,nashBargaining,0.0500,8.77,16.36,5.91,36.89,2.96,15.37,6.14,7.60
